Target,gene
TAF12,POLR2B
HNRNPR,POLR2B
TAF12,MNAT1
POLR2B,MNAT1
TAF12,POLR2C
HNRNPR,POLR2C
POLR2B,POLR2C
MNAT1,POLR2C
HNRNPR,PRPF40A
YJU2,PRPF40A
HNRNPR,SRSF5
POLR2B,SRSF5
POLR2C,SRSF5
HNRNPR,SRSF4
POLR2B,SRSF4
POLR2C,SRSF4
SRSF5,SRSF4
HNRNPR,HNRNPU
POLR2B,HNRNPU
POLR2C,HNRNPU
SRSF5,HNRNPU
SRSF4,HNRNPU
HNRNPR,XAB2
POLR2B,XAB2
MNAT1,XAB2
POLR2C,XAB2
YJU2,XAB2
PRPF40A,XAB2
YJU2,CWC22
PRPF40A,CWC22
XAB2,CWC22
TAF12,GTF2H2C
POLR2B,GTF2H2C
MNAT1,GTF2H2C
POLR2C,GTF2H2C
HNRNPR,HNRNPF
POLR2B,HNRNPF
POLR2C,HNRNPF
SRSF5,HNRNPF
SRSF4,HNRNPF
HNRNPU,HNRNPF
TAF12,CDK7
POLR2B,CDK7
MNAT1,CDK7
POLR2C,CDK7
HNRNPU,CDK7
XAB2,CDK7
GTF2H2C,CDK7
HNRNPR,SNRNP200
POLR2B,SNRNP200
POLR2C,SNRNP200
YJU2,SNRNP200
PRPF40A,SNRNP200
SRSF5,SNRNP200
SRSF4,SNRNP200
HNRNPU,SNRNP200
XAB2,SNRNP200
CWC22,SNRNP200
HNRNPF,SNRNP200
HNRNPR,SF3A1
POLR2B,SF3A1
POLR2C,SF3A1
YJU2,SF3A1
PRPF40A,SF3A1
SRSF5,SF3A1
SRSF4,SF3A1
HNRNPU,SF3A1
XAB2,SF3A1
CWC22,SF3A1
HNRNPF,SF3A1
SNRNP200,SF3A1
HNRNPR,HNRNPA1
POLR2B,HNRNPA1
POLR2C,HNRNPA1
SRSF5,HNRNPA1
SRSF4,HNRNPA1
HNRNPU,HNRNPA1
HNRNPF,HNRNPA1
SNRNP200,HNRNPA1
SF3A1,HNRNPA1
HNRNPR,HNRNPK
POLR2B,HNRNPK
POLR2C,HNRNPK
SRSF5,HNRNPK
SRSF4,HNRNPK
HNRNPU,HNRNPK
HNRNPF,HNRNPK
SNRNP200,HNRNPK
SF3A1,HNRNPK
HNRNPA1,HNRNPK
TAF12,NCBP2
HNRNPR,NCBP2
POLR2B,NCBP2
MNAT1,NCBP2
POLR2C,NCBP2
PRPF40A,NCBP2
SRSF5,NCBP2
SRSF4,NCBP2
HNRNPU,NCBP2
XAB2,NCBP2
CWC22,NCBP2
HNRNPF,NCBP2
CDK7,NCBP2
SNRNP200,NCBP2
SF3A1,NCBP2
HNRNPA1,NCBP2
HNRNPK,NCBP2
TAF12,ENSG00000215719
POLR2B,ENSG00000215719
HNRNPR,SRSF7
POLR2B,SRSF7
POLR2C,SRSF7
SRSF5,SRSF7
SRSF4,SRSF7
HNRNPU,SRSF7
HNRNPF,SRSF7
SNRNP200,SRSF7
SF3A1,SRSF7
HNRNPA1,SRSF7
